District,Hotels,Restaurants,Attractions,Hotel_Budget_Range,Restaurant_Budget_Range,Hotel_Budget,Restaurant_Budget
Colombo,Shangri-La Hotel Colombo,Ministry of Crab,Gangaramaya Temple,250 - 500,50 - 100,375,75
Colombo,Cinnamon Grand Colombo,Nuga Gama (Cinnamon Grand),Galle Face Green,200 - 400,40 - 80,300,60
Colombo,Hilton Colombo,The Lagoon (Cinnamon Grand),National Museum of Colombo,180 - 350,60 - 120,265,90
Colombo,Galle Face Hotel,The Tuna & The Crab (Galle Face Hotel),Independence Square,220 - 450,80 - 160,335,120
Colombo,Taj Samudra Colombo,Upali's by Nawaloka,Viharamahadevi Park,200 - 380,60 - 120,290,90
Colombo,Cinnamon Lakeside Colombo,Curry Leaf (Hilton Colombo),Colombo Fort,180 - 350,80 - 160,265,120
Colombo,The Kingsbury Colombo,Echo (Cinnamon Grand),Beira Lake,200 - 400,50 - 100,300,75
Colombo,Marino Beach Colombo,Rare at Residence,Pettah Market,150 - 300,80 - 160,225,120
Colombo,Mövenpick Hotel Colombo,The Gallery Cafe,Old Parliament Building,150 - 300,70 - 140,225,105
Colombo,Galadari Hotel,Long Feng (Cinnamon Lakeside),Wolvendaal Church,150 - 300,80 - 160,225,120
Colombo,Ramada Colombo,Colombo City Hotel,Jami Ul-Alfar Mosque,120 - 250,70 - 140,185,105
Colombo,Cinnamon Red Colombo,Raja Bojun,Seema Malaka Temple,100 - 200,80 - 160,150,120
Colombo,OZO Colombo,The Commons Coffee House,Dutch Period Museum,100 - 200,50 - 100,150,75
Colombo,Jetwing Colombo Seven,The Kings (Kingsbury),Sri Kailawasanathan Swami Devasthanam Kovil,120 - 250,80 - 160,185,120
Colombo,Mandarina Colombo,Chutneys (Cinnamon Grand),Old Town Hall,100 - 200,80 - 160,150,120
Colombo,Fairway Colombo,Navratna (Taj Samudra),Dehiwala Zoo,90 - 180,80 - 160,135,120
Colombo,Mövenpick Hotel Apartments,Sakura (Hilton Colombo),Colombo Port Maritime Museum,120 - 250,80 - 160,185,120
Colombo,Renuka City Hotel,Yue Chuan (Cinnamon Grand),Kelaniya Raja Maha Vihara,90 - 180,80 - 160,135,120
Colombo,Colombo Courtyard,Shirohana (Cinnamon Grand),Mount Lavinia Beach,100 - 200,60 - 120,150,90
Colombo,Cinnamon Bey Colombo,Beach Wadiya,St. Lucia's Cathedral,150 - 300,80 - 160,225,120
Colombo,Movenpick Colombo,Semondu (Hilton Colombo),The Dutch Hospital Shopping Precinct,150 - 300,80 - 160,225,120
Colombo,Wonder Hotel Colombo,The Bay Leaf,Attidiya Bird Sanctuary,100 - 200,80 - 160,150,120
Colombo,Colombo City Hotel,Park Street Mews Restaurant,St. Anthony's Church Kochchikade,80 - 160,60 - 120,120,90
Colombo,Hotel Sapphire,Chinese Dragon Cafe,Colombo World Trade Center,80 - 160,70 - 140,120,105
Colombo,Global Towers Hotel,The Sizzle,R Premadasa Stadium,70 - 150,80 - 160,110,120
Colombo,Ocean Edge Suites & Hotel Colombo,Arabian Knights,St. Andrew's Scots Kirk Church,120 - 250,70 - 140,185,105
Colombo,Omega Regency,Café Francais,Mount Lavinia Railway Station,70 - 150,80 - 160,110,120
Colombo,The Ocean Colombo,Kaema Sutra (Shangri-La),Isipathanaramaya Temple,120 - 250,80 - 160,185,120
Colombo,Pearl Grand Hotel,Il Ponte (Hilton Colombo),Seema Malakaya Meditation Centre,100 - 200,80 - 160,150,120
Colombo,Silvikris Villa,Siam House,New Kathiresan Kovil,80 - 160,80 - 160,120,120
Colombo,Sapphire Hotel Colombo,The Dining Room (Cinnamon Lakeside),St. Peter's Church,90 - 180,80 - 160,135,120
Colombo,Zylan Luxury Villa,Rio Ice Cream,War Memorial,100 - 200,80 - 160,150,120
